@id	@type	@lat	@lon	name	highway	lanes	maxspeed	oneway
5671628	way	40.7815908	-73.9806875	West 76th Street	residential			yes
5671629	way	40.7569433	-73.9773115	East 48th Street	residential	1		yes
5671635	way	40.7604121	-73.9515994	Main Street	residential	2	15 mph	
5671639	way	40.7706086	-73.9432851	West Road	unclassified	1	10 mph	yes
5671645	way	40.8612828	-73.9276960	Sickles Street	residential			yes
5671654	way	40.7602241	-74.0008206	West 40th Street	primary	2	25 mph	
5671656	way	40.7883533	-73.9547228	East 97th Street	secondary	1	25 mph	yes
5671659	way	40.7287032	-73.9860499	East 9th Street	residential	1	25 mph	yes
5671661	way	40.7252820	-73.9779655	East 9th Street	residential		20 mph	yes
5671663	way	40.7320265	-73.9939271	East 9th Street	residential	1	25 mph	yes
5671668	way	40.7361750	-74.0035581	West 11th Street	residential		20 mph	yes
5671672	way	40.8259718	-73.9391641	Macombs Place	secondary			yes
5671674	way	40.8276233	-73.9355532		secondary_link			yes
5671681	way	40.8346824	-73.9388604	Jumel Terrace	residential			
5671684	way	40.8219512	-73.9357844	West 147th Street	residential			yes
5671685	way	40.8265549	-73.9467139	West 147th Street	residential			yes
5671688	way	40.7809997	-73.9613202	86th Street Transverse	secondary	2	25 mph	yes
5671690	way	40.7812727	-73.9623857	86th Street Transverse	secondary	1	25 mph	yes
5671691	way	40.7703536	-73.9854738	West 60th Street	tertiary	2	25 mph	yes
5671693	way	40.7468173	-73.9846908	East 32nd Street	unclassified	3	25 mph	yes
5671698	way	40.7440463	-74.0084746	West 16th Street	residential	1	25 mph	yes
5671699	way	40.7398519	-73.9777405	Mount Carmel Place	residential		25 mph	yes
5671701	way	40.7406144	-73.9757121	East 29th Street	residential		25 mph	no
5671702	way	40.7939605	-73.9384491	East 112th Street	residential	1		yes
5671703	way	40.8606395	-73.9297940	West 196th Street	residential			
5671709	way	40.7610123	-73.9772572	West 53rd Street	secondary	2		yes
5671710	way	40.8155310	-73.9596992	Tiemann Place	residential			
5671711	way	40.7257631	-73.9976619	Mercer Street	residential	1	25 mph	yes
5671712	way	40.8680689	-73.9175465	West 212th Street	residential			yes
5671713	way	40.7173375	-74.0150371	Warren Street	residential		20 mph	
5671717	way	40.7110553	-74.0004338	Saint James Place	primary	4	20 mph	
5671719	way	40.7455143	-73.9717055	East 37th Street	secondary	1	25 mph	yes
5671739	way	40.8464678	-73.9423449	Haven Avenue	residential	1	25 mph	yes
5671743	way	40.7301427	-73.9960694	Washington Square East	residential		25 mph	yes
5671749	way	40.7952467	-73.9315121	East 117th Street	service			no
5671752	way	40.7722018	-73.9462957	Gracie Terrace	residential			
5671754	way	40.7322879	-74.0004589	West Washington Place	residential		25 mph	yes
5671756	way	40.7161886	-73.9807261	Columbia Street	residential		25 mph	yes
